Id,WnvPresent
1,1.8230097339255735e-05
2,1.1477279258542694e-05
3,6.565935564140091e-06
4,3.287178287791903e-06
5,1.9091110061708605e-06
6,0.0009693529573269188
7,0.0009693529573269188
8,0.0009693529573269188
9,2.3014847101876512e-05
10,3.6389444630913204e-06
11,7.1355966611008625e-06
12,2.034823182839318e-06
13,1.1817760423582513e-06
14,0.0006002685986459255
15,0.0006002685986459255
16,0.0006002685986459255
17,2.4586701329099014e-05
18,3.236693737562746e-05
19,1.4121836102276575e-05
20,9.27026030694833e-06
21,5.38395443072659e-06
22,0.002728906460106373
23,0.002728906460106373
24,0.002728906460106373
25,7.423060742439702e-05
26,3.986357478424907e-05
27,6.2859448917151894e-06
28,7.136909516702872e-06
29,4.1449497985013295e-06
30,0.0021022262517362833
31,0.0021022262517362833
32,0.0021022262517362833
33,3.817393917415757e-06
34,2.6377615540695842e-06
35,4.7487756660302693e-07
36,3.808422889051144e-06
37,2.7426207793723734e-07
38,0.00013937216135673225
39,0.00013937216135673225
40,0.00013937216135673225
41,3.237582859583199e-06
42,1.2990253708267119e-06
43,2.3386438385841757e-07
44,2.325630816812918e-07
45,1.3506716811662045e-07
46,6.864186434540898e-05
47,6.864186434540898e-05
48,6.864186434540898e-05
49,6.842058610345703e-06
50,8.761021490499843e-06
51,8.511440796610259e-07
52,8.464079428449622e-07
53,4.915735303256952e-07
54,0.00024977585417218506
55,0.00024977585417218506
56,0.00024977585417218506
57,1.175202942249598e-05
58,9.099667295231484e-06
59,2.481715455360245e-06
60,1.629106122891244e-06
61,9.461463150728378e-07
62,0.0004806402721442282
63,0.0004806402721442282
64,0.0004806402721442282
65,1.0594389095786028e-05
66,6.502790711238049e-06
67,3.773387788896798e-06
68,1.0347910119890003e-06
69,6.009819344399148e-07
70,0.0003053518303204328
71,0.0003053518303204328
72,0.0003053518303204328
73,4.669785994337872e-05
74,0.00025095505407080054
75,1.4457065844908357e-05
76,2.1958723664283752e-05
77,5.09920901095029e-05
78,0.0058871242217719555
79,0.0058871242217719555
80,0.0058871242217719555
81,2.399626282567624e-05
82,1.658119072089903e-05
83,2.9851601084374124e-06
84,2.968537955894135e-06
85,1.7240543002117192e-06
86,0.0008754743612371385
87,0.0008754743612371385
88,0.0008754743612371385
89,0.0006184165831655264
90,0.0005993721424601972
91,0.0001079579014913179
92,0.00011750389239750803
93,6.824653246439993e-05
94,0.030718909576535225
95,0.030718909576535225
96,0.030718909576535225
97,0.0010866356315091252
98,0.0007584185223095119
99,0.00013662326091434807
100,0.00013586314162239432
101,7.891061250120401e-05
102,0.038562044501304626
103,0.038562044501304626
104,0.038562044501304626
105,2.3660835722694173e-05
106,1.6349396901205182e-05
107,2.9434152111207368e-06
108,2.9270368031575345e-06
109,1.699951326372684e-06
110,0.0008632420795038342
111,0.0008632420795038342
112,0.0008632420795038342
113,2.6256186174578033e-05
114,5.6499002312193625e-06
115,1.3603346815216355e-05
116,3.8792250052210875e-06
117,2.252959802717669e-06
118,0.001143748639151454
119,0.001143748639151454
120,0.001143748639151454
121,1.2888655476217536e-07
122,7.63802798786628e-09
123,5.497520660924238e-09
124,3.2781646286395016e-09
125,1.9038899345957816e-09
126,9.676186891738325e-07
127,9.676186891738325e-07
128,9.676186891738325e-07
129,1.3155832675693091e-05
130,5.682375558535568e-06
131,1.6365853525712737e-06
132,1.6274757399514783e-06
133,9.451993605580356e-07
134,0.00048015741049312055
135,0.00048015741049312055
136,0.00048015741049312055
137,0.00010559135262155905
138,2.6360281481174752e-05
139,4.745751994050806e-06
140,4.7193402679113206e-06
141,2.740879153861897e-06
142,0.0013910949928686023
143,0.0013910949928686023
144,0.0013910949928686023
145,6.72094131459744e-07
146,2.7156413580087246e-06
147,5.689826593879843e-06
148,7.777734936098568e-07
149,4.517131628745119e-07
150,0.00022952663130126894
151,0.00022952663130126894
152,0.00022952663130126894
153,4.171674390818225e-06
154,5.491792762768455e-06
155,2.796369699353818e-06
156,1.5728819562355056e-06
157,9.134934089161106e-07
158,0.00046405993634834886
159,0.00046405993634834886
160,0.00046405993634834886
161,8.074840479821432e-06
162,8.135891107485804e-07
163,9.367951179228839e-07
164,5.586110205513251e-07
165,3.24426963516089e-07
166,0.00016486126696690917
